T_K [INPUT],P_atm [INPUT],Z_feed [INPUT],N_stages [INPUT],F_Stage [INPUT],R_reflux [INPUT],B_molps [INPUT],xD [OUTPUT],xB [OUTPUT],QC_kW [OUTPUT],QR_kW [OUTPUT],status [INFO]
354.3,2.265,0.5486,15,4,4.837,45.63,0.99727938,0.98511559,9681.466,10531.244,done
359.8,1.803,0.4008,12,10,3.52,60.05,0.95526101,0.97012183,5473.8666,6004.1436,done
359.2,1.337,0.5823,17,15,4.203,61.38,0.97374731,0.66437437,6114.3579,6526.3873,done
354.1,2.856,0.6174,13,11,1.632,49.4,0.97772147,0.75298394,4075.78,4531.8163,done
367.4,2.233,0.7632,17,6,3.03,36.74,0.99613314,0.63555272,7605.8319,8448.2924,done
355.9,2.935,0.2636,16,15,2.297,57.66,0.576549,0.96804445,4383.4178,4954.7246,done
351.2,1.749,0.5339,9,3,1.383,66.96,0.99723117,0.69714311,2408.6249,2672.2821,done
358.3,2.484,0.6125,18,13,3.216,45.67,0.98459357,0.82679803,6960.1275,7733.3493,done
348.4,2.626,0.5129,11,8,4.26,67.66,0.98059352,0.71200766,5247.5196,5797.4169,done
379.5,1.676,0.6534,10,9,3.588,47.02,0.97633787,0.71151899,7158.5006,7915.5798,done
337.7,1.257,0.7886,16,8,1.116,44.94,0.99022678,0.45979505,3656.0463,3630.6535,done
333.1,1.424,0.484,15,9,2.571,56.01,0.99042393,0.91042218,4947.0783,4973.1129,done
337.4,2.435,0.6838,19,5,1.483,47.96,0.99424185,0.65663644,4051.4162,4171.271,done
367.5,2.865,0.2642,20,17,1.665,66.63,0.73473855,0.97247337,2713.563,3269.4318,done
355.3,2.491,0.6757,13,8,4.463,35.59,0.98598085,0.88710262,10706.1656,11837.5325,done
359.7,2.255,0.6388,9,4,2.846,48.69,0.99397235,0.737351,5981.7515,6585.523,done
340.7,1.186,0.2209,20,15,4.935,63.49,0.59631188,0.99590999,7001.023,7116.0008,done
359.1,1.793,0.706,16,12,1.379,61.4,0.98432633,0.46901333,2780.1234,3158.7168,done
365.1,2.655,0.7997,15,6,1.868,39.5,0.99466902,0.49854297,5220.1485,5898.5133,done
356.5,1.824,0.4415,8,6,1.767,59.53,0.9786197,0.92435094,3414.8406,3753.4569,done
363.5,2.446,0.3432,9,3,4.963,69.69,0.999,0.94246689,5435.7883,6206.6621,done
340.4,2.553,0.5795,16,10,1.792,65.05,0.98694383,0.63815253,3042.1914,3214.6874,done
376.4,2.001,0.6041,17,16,1.004,39.62,0.92645841,0.88569768,3572.5205,4191.5407,done
330.7,2.784,0.2327,9,7,4.867,40.64,0.38799448,0.9919665,11601.1465,12562.7742,done
334.0,2.79,0.6938,12,11,3.698,40.7,0.97903633,0.71287008,8788.1604,9470.705,done
351.2,1.297,0.2164,18,12,3.721,61.95,0.56125749,0.9965453,5715.9046,5983.848,done
375.0,2.501,0.6721,10,8,2.011,63.08,0.97664156,0.50540558,3279.8969,3999.0862,done
347.8,1.17,0.5019,18,5,2.382,48.53,0.97720879,0.99777408,5383.7588,5514.6687,done
342.9,1.453,0.7104,11,3,3.507,34.35,0.99596445,0.84188526,9191.0919,9423.1546,done
374.1,1.896,0.4424,11,2,4.081,55.51,0.96225829,0.97617864,6691.112,7496.4155,done
350.3,1.313,0.5108,13,8,2.82,47.24,0.95138935,0.98438719,6209.9861,6458.36,done
359.3,1.587,0.2731,13,5,3.798,57.6,0.64158664,0.998,6299.8141,6824.8003,done
363.8,1.612,0.4333,14,4,2.795,65.84,0.99790833,0.86046789,3896.4845,4383.9199,done
340.2,1.559,0.6011,10,3,1.676,63.58,0.99751437,0.62773851,3045.0729,3139.1368,done
355.2,2.72,0.7558,10,7,2.944,62.31,0.98339981,0.38021616,4532.8368,5103.6832,done
356.4,1.333,0.268,15,13,2.847,52.33,0.54596714,0.98653264,5781.4413,6103.0941,done
373.5,1.969,0.5259,15,8,3.775,44.53,0.94365018,0.99254972,7872.2778,8716.7457,done
349.5,2.583,0.7701,15,8,4.089,46.19,0.99048933,0.48536948,8431.0567,9241.0226,done
353.3,1.429,0.4798,20,16,1.363,67.01,0.97732996,0.76721175,2386.0111,2654.3693,done
353.4,1.714,0.3339,18,13,4.747,50.01,0.6596477,0.98952278,9001.3467,9594.172,done
338.7,1.255,0.7434,10,2,1.722,56.48,0.99515331,0.45217566,3713.7789,3739.0387,done
379.1,1.696,0.7728,17,15,1.806,66.24,0.97509719,0.33057341,2773.992,3461.5423,done
368.7,1.964,0.7505,19,8,2.859,55.71,0.99653989,0.44287893,5092.3437,5750.486,done
348.4,1.514,0.7342,12,9,3.267,55.43,0.98243142,0.46453288,5874.3783,6134.4169,done
363.2,1.863,0.7307,19,7,3.86,66.9,0.99556129,0.39922456,4838.6223,5429.4486,done
369.0,2.097,0.6045,18,15,1.32,64.59,0.98043745,0.60252947,2443.4334,2971.8844,done
372.3,2.058,0.2119,14,4,3.172,35.18,0.31183706,0.96969281,8432.9077,9329.8107,done
363.4,1.264,0.6403,12,7,3.347,56.43,0.98889062,0.62805244,5691.1138,6146.4113,done
374.7,2.459,0.6226,14,2,1.187,55.98,0.99356128,0.66815599,2836.1727,3474.3971,done
359.5,2.849,0.7178,14,11,4.627,41.57,0.97732421,0.65014368,10002.7962,11229.5286,done
340.9,1.856,0.6504,17,8,2.15,52.05,0.99038017,0.66157803,4719.6018,4877.6729,done
360.1,1.682,0.6508,11,10,4.065,46.06,0.97397618,0.72988015,8279.3767,8846.9689,done
373.9,1.81,0.6749,8,7,4.353,52.27,0.97382251,0.5995595,7549.2639,8380.0103,done
372.5,1.141,0.3883,16,8,4.769,46.5,0.72626662,0.998,9315.649,9869.9523,done
359.8,2.125,0.731,17,15,2.04,40.13,0.97593604,0.63159155,5514.3993,6039.4948,done
356.1,1.428,0.6147,9,6,1.872,43.04,0.98550476,0.8764815,4997.6281,5275.5663,done
356.4,1.262,0.2933,12,10,2.501,57.7,0.65481319,0.97355247,4620.8164,4920.1631,done
372.1,2.664,0.4269,11,10,2.94,68.29,0.97173806,0.82478538,3714.3657,4467.2301,done
356.2,2.787,0.6703,12,5,4.397,59.85,0.99536952,0.55046486,6586.6975,7442.5569,done
373.8,1.869,0.2211,13,4,4.156,67.3,0.66873566,0.99491275,5101.6395,5862.2857,done
331.7,1.25,0.7501,18,2,1.627,66.88,0.98810101,0.36864659,2750.2312,2719.2083,done
336.7,2.566,0.3856,16,3,1.146,68.96,0.9949072,0.88682056,2096.8824,2098.8863,done
366.9,1.592,0.594,11,9,3.375,37.33,0.92360658,0.95901761,8250.0965,8845.8722,done
350.9,2.557,0.7566,9,5,3.453,64.92,0.988473,0.37033149,4792.2756,5329.2076,done
369.2,1.595,0.5639,20,12,4.915,39.96,0.93192441,0.98659066,10622.2421,11403.7068,done
357.0,1.014,0.746,17,15,4.504,35.66,0.97731427,0.66742004,10743.7754,10999.9085,done
346.7,2.7,0.5736,17,13,1.058,55.47,0.97906532,0.75588613,2827.9589,3026.2441,done
368.6,1.277,0.2943,10,6,4.025,48.46,0.56440456,0.99080791,7990.3237,8515.2263,done
354.1,2.206,0.7568,17,2,3.816,48.12,0.98898901,0.49556295,7639.5572,8307.3927,done
347.3,2.739,0.5876,10,3,3.992,69.35,0.99819472,0.59265634,4722.661,5225.8884,done
340.5,1.546,0.7579,10,5,4.216,45.51,0.9920002,0.51948277,8862.391,9144.7106,done
346.1,1.975,0.4151,9,8,1.202,57.42,0.90700184,0.94920167,2917.9612,3095.8624,done
350.1,1.751,0.4994,16,12,4.419,60.92,0.98108864,0.80711412,6494.1343,6910.0756,done
359.7,1.72,0.3833,15,8,2.812,57.85,0.90014828,0.99459359,4901.0665,5359.7335,done
334.5,1.324,0.6801,9,3,3.889,67.73,0.99748087,0.47279843,4958.5141,5026.0858,done
363.2,2.684,0.3517,14,7,2.053,36.7,0.54616983,0.98279661,5998.1533,6761.5521,done
348.7,1.299,0.5546,11,4,3.686,48.62,0.99476374,0.91075942,7403.6569,7638.9516,done
353.1,2.461,0.5283,11,2,4.761,57.96,0.99487559,0.81210291,7424.6223,8168.2578,done
375.9,1.73,0.3331,10,2,1.849,46.53,0.59007568,0.96246401,4613.3043,5275.5168,done
334.0,1.303,0.7051,11,5,4.161,44.18,0.99196252,0.65503725,9091.1228,9131.667,done
357.1,2.047,0.3815,16,4,1.14,61.35,0.9345514,0.96582662,2519.5532,2846.3087,done
353.5,2.401,0.4584,16,15,2.022,68.41,0.97833238,0.77796104,2920.0308,3275.0413,done
352.7,2.836,0.7842,14,8,2.905,69.57,0.98900182,0.30328047,3625.5025,4102.568,done
335.4,2.13,0.2437,18,8,2.252,68.01,0.71750253,0.97808228,3354.5922,3438.4496,done
348.9,1.504,0.6676,18,16,2.639,64.61,0.97912729,0.49992287,3967.3277,4234.3389,done
377.3,2.456,0.7866,8,6,2.411,32.17,0.98078521,0.61950708,6798.8601,7761.6854,done
368.2,2.142,0.7153,18,7,2.43,51.36,0.99752898,0.54870673,4980.9661,5639.1031,done
343.4,1.879,0.6081,8,7,3.467,37.21,0.9252033,0.92610658,8794.6432,9190.5408,done
341.9,1.47,0.391,10,6,1.728,42.32,0.64697372,0.95318277,5045.5464,5121.1708,done
339.4,2.135,0.3729,17,2,2.799,57.57,0.87637721,0.998,5091.7177,5342.2205,done
337.9,2.719,0.6235,16,3,2.036,40.2,0.99510684,0.92790221,5697.9348,6009.3848,done
356.6,1.967,0.4391,8,6,4.982,69.25,0.98001542,0.8029874,5589.662,6169.4628,done
355.7,1.252,0.2575,20,6,4.442,30.83,0.37251991,0.998,12001.0321,12374.7372,done
364.7,2.375,0.5449,18,4,2.397,67.65,0.99385364,0.67168936,3298.0301,3855.5813,done
331.9,2.68,0.3438,16,14,3.915,41.16,0.57343581,0.98228909,9456.7268,10144.682,done
352.9,2.534,0.632,13,7,3.04,49.87,0.99014461,0.72743057,6195.5882,6808.513,done
336.5,2.649,0.3387,15,11,1.354,33.53,0.47731907,0.93435317,5119.6833,5326.8043,done
357.9,1.479,0.7024,18,15,4.48,48.84,0.98011683,0.5874847,8525.5548,9011.3934,done
375.2,2.962,0.5868,20,11,3.398,44.78,0.99030374,0.90920442,7125.0388,8376.8655,done
373.2,1.446,0.4487,19,8,3.77,46.14,0.83101569,0.998,7685.8701,8350.4911,done
354.5,2.891,0.6981,12,11,1.136,44.01,0.97623144,0.65439687,3652.6629,4044.3607,done
341.9,2.373,0.7417,20,14,1.119,44.83,0.98078574,0.5581075,3637.2362,3782.0354,done
335.1,2.595,0.2656,17,14,3.065,38.63,0.42202597,0.98874966,8206.1183,8760.0358,done
350.5,1.312,0.383,11,4,2.093,63.49,0.99077593,0.9692196,3464.9395,3697.1087,done
334.5,1.069,0.3625,10,3,4.782,36.06,0.56760153,0.998,12077.4461,11997.5005,done
360.8,1.506,0.6596,16,10,4.75,36.12,0.98692483,0.91697874,11099.2773,11633.0455,done
332.6,1.512,0.4954,15,11,2.35,63.0,0.9814913,0.79113804,3920.8285,3927.8035,done
354.2,2.376,0.5016,14,10,1.221,47.17,0.88532735,0.92736496,3606.9278,3950.1202,done
343.9,2.102,0.3777,10,8,2.416,54.24,0.79164614,0.97250815,4927.0814,5210.7348,done
359.4,2.209,0.5472,16,9,3.778,48.04,0.98899724,0.92873334,7502.2993,8232.3701,done
340.4,2.772,0.7389,13,8,2.007,50.97,0.98933638,0.50011283,4606.5711,4881.4645,done
368.3,2.929,0.3851,8,3,1.189,46.61,0.68079383,0.95715691,3568.2605,4167.2175,done
371.3,2.253,0.5274,9,5,3.315,38.06,0.8381095,0.97992138,8017.7459,8967.369,done
353.4,1.347,0.5919,12,9,2.811,59.51,0.98153412,0.67340029,4705.197,4999.8036,done
374.2,1.636,0.5378,16,13,1.629,56.09,0.97935072,0.80600271,3406.113,3993.2225,done
346.4,1.134,0.4267,16,3,1.58,62.42,0.99291936,0.91366035,2990.4271,3149.0348,done
362.3,2.179,0.2287,11,5,3.754,32.22,0.33291029,0.99292752,10238.5581,11106.0707,done
344.4,1.451,0.7063,10,4,1.408,53.4,0.9971431,0.54478336,3482.8097,3603.2831,done
365.8,2.837,0.7232,14,8,1.392,37.74,0.98924034,0.7168654,4463.4853,5105.0827,done
338.4,1.648,0.7478,19,15,4.094,33.34,0.97990153,0.71926758,10595.5664,10930.3243,done
364.8,2.875,0.2269,10,4,4.719,52.4,0.47068133,0.99465589,8520.4294,9723.3667,done
378.3,1.655,0.2021,17,9,1.934,66.93,0.57383312,0.98398063,2927.9178,3579.8618,done
332.0,1.728,0.5166,18,6,4.69,66.68,0.99867432,0.72247062,5994.9,6136.8577,done
369.0,2.316,0.2612,15,3,1.802,58.72,0.59660295,0.97579894,3549.4477,4150.0947,done
362.9,2.698,0.3889,13,3,1.753,48.32,0.71297595,0.95750156,4368.0548,4980.309,done
361.5,1.867,0.4375,15,10,1.206,43.09,0.7188783,0.93568946,3871.7823,4255.4969,done
330.8,2.906,0.5329,12,6,1.412,35.78,0.82350362,0.98869889,4984.1597,5116.3932,done
373.1,2.759,0.2999,8,7,4.763,39.88,0.48322579,0.9750603,10581.0272,12138.3337,done
377.4,2.942,0.3533,12,2,4.879,35.28,0.54390964,0.99489482,11525.8118,13362.5921,done
341.7,1.065,0.6337,14,4,2.168,53.11,0.99840169,0.68913392,4641.9011,4664.8096,done
361.6,1.531,0.5372,9,2,2.505,44.36,0.91803497,0.93949114,5901.5002,6358.9641,done
356.1,2.713,0.7694,15,13,3.774,43.32,0.97815982,0.50053616,8265.4056,9198.1924,done
360.2,1.935,0.5644,16,8,3.976,57.79,0.99219432,0.74807267,6351.7154,6959.6857,done
344.5,2.013,0.5687,20,2,3.384,43.27,0.9906446,0.98603603,7745.953,8130.2379,done
343.5,1.196,0.7629,18,14,4.067,55.59,0.98179657,0.41218402,7002.5011,7124.3218,done
371.7,2.613,0.6741,11,10,1.738,63.35,0.97331156,0.49927385,2977.6844,3622.5877,done
345.8,2.692,0.5883,18,14,2.969,45.4,0.98329561,0.88427615,6713.5605,7297.1414,done
361.6,1.844,0.4576,16,10,2.735,64.42,0.98681366,0.83354608,4018.1493,4493.6117,done
352.7,2.681,0.3214,16,2,2.557,65.68,0.92065161,0.99373274,3760.934,4209.0247,done
371.1,1.071,0.6889,15,5,3.012,40.75,0.999,0.76078018,7062.4767,7474.2083,done
366.4,1.38,0.2224,11,10,3.515,31.59,0.31274344,0.97416003,9709.3337,10204.2723,done
340.0,2.14,0.4307,15,4,1.864,34.18,0.65417914,0.998,6061.3789,6285.0124,done
378.5,1.212,0.4251,9,6,4.959,38.44,0.68304747,0.98443043,11031.6169,11673.3442,done
335.1,2.92,0.7357,15,7,4.531,52.08,0.99050452,0.50443754,8358.8768,9089.1878,done
366.9,2.705,0.6538,9,7,4.485,42.22,0.98111299,0.79350661,9515.9354,10762.4747,done
335.5,2.319,0.3267,8,4,3.968,69.92,0.98713304,0.9581798,4707.6914,4945.6004,done
358.0,2.342,0.5225,8,5,2.307,55.12,0.9821936,0.85353283,4512.4227,5006.6376,done
347.9,1.933,0.5928,14,8,2.891,46.23,0.98782228,0.86418081,6455.8415,6848.647,done
336.0,2.351,0.2763,20,14,3.858,47.9,0.52520638,0.99362992,8272.36,8766.7705,done
359.1,2.242,0.4439,17,9,2.072,37.7,0.70937678,0.99024476,5930.3715,6516.7648,done
334.1,1.541,0.452,18,17,1.925,37.01,0.69833189,0.97140601,5958.1526,5950.064,done
376.6,2.635,0.2314,12,2,3.396,47.48,0.42810079,0.9827344,7090.7793,8165.6841,done
377.9,1.377,0.5286,14,4,1.46,44.47,0.90370269,0.9401692,4051.5562,4626.7873,done
339.0,1.045,0.2279,19,6,2.268,66.34,0.6452678,0.98188839,3537.2062,3603.8176,done
360.9,2.583,0.5568,12,4,4.437,36.39,0.87797192,0.998,10523.1922,11765.1426,done
360.1,1.345,0.5208,12,3,3.594,39.22,0.85683867,0.998,8524.2221,8924.113,done
352.3,2.228,0.3113,14,2,2.311,54.22,0.6652006,0.98957199,4759.1184,5201.1356,done
377.0,2.22,0.4193,12,10,1.244,50.18,0.78384242,0.94630755,3346.0887,4001.6158,done
344.7,1.689,0.6523,10,8,3.227,66.04,0.97979471,0.51741657,4466.9677,4702.878,done
351.2,2.269,0.387,13,3,1.942,69.77,0.99676758,0.8756998,2731.797,3022.8791,done
349.2,2.123,0.2974,20,3,1.597,34.02,0.42503485,0.95149133,5497.3721,5853.4206,done
360.0,2.812,0.5805,10,7,3.601,68.37,0.98089418,0.60416287,4393.442,5069.625,done
344.0,1.384,0.6432,15,3,2.288,51.15,0.99669116,0.69346091,4990.0299,5114.9624,done
376.0,2.547,0.6795,20,3,4.641,56.04,0.99379679,0.56705292,7301.7905,8449.8683,done
341.0,2.717,0.5175,19,4,4.714,58.77,0.9956348,0.81892563,7343.5707,8002.4751,done
359.5,2.841,0.4639,11,7,2.215,59.82,0.98285755,0.88535899,3900.2483,4467.5871,done
333.2,2.413,0.7957,13,12,2.145,47.68,0.9731967,0.39829228,5186.6923,5377.3858,done
342.5,2.983,0.7195,14,7,4.861,59.75,0.99094395,0.46453543,7358.5549,8140.9909,done
330.6,1.222,0.5663,15,10,2.272,38.74,0.91507572,0.98716864,6400.8675,6291.3189,done
335.6,1.1,0.5847,16,9,2.459,37.98,0.93584061,0.98794106,6779.0007,6695.1349,done
358.1,2.156,0.5405,17,2,4.432,48.75,0.99036364,0.93334713,8444.6889,9239.7463,done
374.4,1.169,0.6658,11,8,2.375,55.36,0.98155604,0.58885482,4454.8932,5002.0288,done
374.0,1.316,0.3129,13,2,3.958,47.73,0.59785976,0.99714238,7904.2417,8492.25,done
377.5,1.035,0.4283,9,4,2.74,68.05,0.99484322,0.8336582,3519.3243,4099.5961,done
369.4,1.22,0.7517,10,4,2.554,53.33,0.99508438,0.46252622,4944.2206,5421.6419,done
378.7,2.409,0.7715,13,9,2.29,69.29,0.98402673,0.32395882,2958.7279,3730.7654,done
368.4,1.173,0.7848,19,3,3.022,66.59,0.99375335,0.31783795,4013.7073,4511.0238,done
342.5,1.443,0.7349,12,11,3.341,65.77,0.97743133,0.3925671,4637.3373,4819.388,done
375.5,2.305,0.565,19,14,2.598,35.37,0.8615203,0.97846296,6909.4697,7844.5772,done
338.1,2.061,0.445,9,7,1.243,46.65,0.78063523,0.93471933,3798.2094,3887.7303,done
356.2,2.847,0.2219,16,5,1.725,41.71,0.36139614,0.97439836,5077.7881,5673.0038,done
379.1,1.122,0.5564,16,10,3.83,34.74,0.84581952,0.98398491,9317.477,9901.4406,done
361.9,2.687,0.3502,9,4,1.071,40.09,0.54980205,0.95151705,3865.7338,4350.2079,done
332.4,1.594,0.7005,18,13,2.948,53.18,0.98348853,0.55045543,5823.9878,5903.3668,done
330.9,1.201,0.6077,8,6,3.613,42.48,0.98139918,0.89335864,8398.3979,8331.5485,done
377.2,1.834,0.7589,12,10,4.333,65.96,0.98084218,0.35254509,5348.1194,6156.5023,done
332.9,1.746,0.3508,12,8,4.659,37.55,0.55613894,0.99209682,11587.8752,11948.615,done
372.2,1.09,0.3979,14,2,2.359,45.25,0.72239812,0.99534177,5552.6594,6038.1691,done
370.9,2.121,0.3513,12,3,4.31,67.51,0.99539745,0.95932145,5117.2029,5877.3471,done
377.6,2.402,0.3359,14,13,1.166,63.33,0.84729444,0.95996023,2362.3704,3001.1819,done
358.5,1.347,0.792,16,12,2.545,68.7,0.9823902,0.29462995,3356.3203,3739.926,done
349.3,2.804,0.5499,15,8,2.153,52.37,0.9906368,0.85203367,4631.0901,5072.6448,done
352.1,2.572,0.4824,16,7,3.794,35.47,0.75019744,0.99786944,9676.0665,10533.0248,done
350.6,1.059,0.4877,9,8,2.172,40.87,0.79013539,0.94984396,5851.0404,5992.7622,done
343.5,1.493,0.3183,9,2,2.364,46.44,0.5720321,0.97748908,5783.7843,5935.9918,done
358.4,2.213,0.6977,17,2,4.669,56.79,0.99188391,0.52644638,7440.9244,8204.4307,done
357.2,2.597,0.7816,19,14,2.829,30.54,0.97878491,0.67390765,8074.1051,8956.896,done
338.4,2.771,0.3968,12,4,2.112,37.43,0.63507664,0.998,6262.5908,6680.6667,done
331.8,1.951,0.6377,10,6,3.718,42.68,0.98679755,0.83152484,8564.661,8847.8791,done
356.4,2.483,0.7768,18,10,3.001,56.12,0.99061286,0.39046166,5342.2717,5956.2765,done
338.6,1.33,0.6179,13,9,3.88,37.28,0.97312275,0.97891222,9590.8993,9640.3871,done
368.7,1.501,0.6468,17,10,2.327,47.44,0.98664555,0.72901288,5209.255,5730.5067,done
367.6,1.242,0.433,16,12,4.907,34.65,0.64971704,0.97862526,11798.9552,12312.8007,done
377.0,1.852,0.4079,17,16,3.32,41.51,0.678623,0.97756453,7587.2431,8407.9103,done
335.7,2.144,0.6998,15,9,4.636,48.23,0.98687281,0.6111656,9211.1445,9656.8585,done
330.4,2.104,0.3466,12,5,1.823,57.52,0.7866265,0.97767156,3868.851,3874.041,done
356.0,2.168,0.5898,15,2,4.629,53.0,0.99033216,0.76453276,8046.8356,8797.7697,done
338.4,2.709,0.2155,14,4,2.525,37.44,0.32715008,0.97000338,7259.3976,7781.6714,done
363.5,2.858,0.3701,12,8,3.847,61.73,0.94138959,0.98027255,5611.9692,6434.3007,done
367.5,2.028,0.7831,20,13,4.511,39.39,0.9850246,0.52488815,9985.3063,10913.7558,done
339.1,2.371,0.4199,11,5,4.045,61.56,0.99158962,0.94026977,6053.0241,6467.0042,done
373.8,1.395,0.2383,12,3,4.301,55.31,0.52804103,0.99705639,7246.8674,7880.2608,done
355.6,1.537,0.4203,17,16,4.38,68.87,0.97288589,0.82851229,5105.0696,5544.0019,done
364.6,2.022,0.4383,20,18,4.12,68.73,0.97264346,0.80507649,4807.9818,5428.5242,done
337.3,1.868,0.6863,10,7,4.186,47.69,0.98630232,0.6392028,8541.4405,8885.5678,done
369.6,2.673,0.6452,19,5,3.668,65.26,0.99868105,0.54387504,4835.6364,5642.7594,done
367.7,1.398,0.2152,8,4,4.912,31.27,0.30912498,0.9874206,12770.4871,13420.0307,done
372.7,1.421,0.472,9,2,3.49,49.25,0.89584506,0.96432847,6821.1656,7418.7841,done
344.2,1.248,0.319,15,6,3.941,49.45,0.62850945,0.99772488,7967.6473,8100.7796,done
348.0,1.066,0.3649,11,7,4.448,49.66,0.71573726,0.99055056,8661.9731,8819.3208,done
353.9,2.78,0.4974,17,16,3.51,57.72,0.97396116,0.85022764,5843.0575,6535.0088,done
337.7,1.627,0.2188,13,4,4.822,43.12,0.38581904,0.998,10896.5277,11196.2047,done
353.9,1.038,0.6417,17,8,3.564,64.23,0.99159538,0.55591221,5006.3752,5234.4131,done
356.3,1.188,0.2247,20,18,2.565,64.1,0.57814644,0.97354742,4010.752,4343.1243,done
347.5,1.928,0.5788,13,12,1.264,37.25,0.88032856,0.93011653,4432.5162,4624.1453,done
370.1,2.19,0.7943,10,2,4.787,60.97,0.99441303,0.33275793,6725.5704,7639.9335,done
349.9,1.246,0.485,17,13,1.968,58.42,0.98190269,0.86657506,3792.0566,4000.2509,done
342.2,2.088,0.3596,10,6,4.464,53.28,0.75744983,0.99248505,8069.613,8578.8535,done
356.8,2.738,0.3865,10,6,1.765,54.08,0.78982399,0.95668096,3931.7076,4407.2866,done
374.4,2.535,0.3314,11,7,2.109,35.68,0.48405981,0.93914945,6138.8082,7027.4741,done
331.5,2.797,0.5679,10,9,1.096,60.02,0.97464268,0.7033954,2648.9672,2604.7866,done
343.3,1.892,0.7213,16,8,2.818,58.39,0.99010873,0.47178949,4946.6186,5208.3476,done
341.9,1.419,0.4775,15,8,3.884,48.68,0.92512122,0.99533943,7854.8737,8046.1204,done
335.8,2.373,0.355,12,2,4.734,38.37,0.5715693,0.99643591,11506.3891,12269.5701,done
364.3,1.35,0.217,20,7,3.232,44.59,0.39329636,0.998,7341.6969,7833.1028,done
358.7,1.229,0.3746,8,5,3.9,49.73,0.72035777,0.97318432,7645.1273,7980.9098,done
337.8,1.685,0.749,12,3,3.557,59.86,0.99492407,0.41481946,5758.9256,5915.9509,done
366.5,1.52,0.2114,13,3,2.953,58.86,0.48817656,0.98186273,5046.2376,5583.1369,done
354.1,1.805,0.7071,19,10,2.023,59.71,0.9882287,0.48439541,3723.0917,4050.2623,done
375.6,2.909,0.2686,14,2,4.571,45.47,0.49216182,0.99691515,9294.6942,10748.4643,done
369.5,1.372,0.3993,12,11,4.004,67.45,0.9770903,0.87757886,4842.3892,5419.122,done
333.6,1.114,0.2978,14,12,4.188,61.32,0.75804672,0.99174533,6477.9729,6449.0967,done
345.4,1.895,0.4305,16,9,3.918,46.21,0.79708005,0.99505467,8332.0655,8755.6038,done
337.6,2.176,0.47,20,6,2.348,51.84,0.98078265,0.99637671,5054.1505,5257.4916,done
372.6,2.241,0.4678,18,6,4.844,41.45,0.80664325,0.998,10280.2266,11464.0917,done
379.8,2.569,0.5658,11,2,1.454,56.06,0.99318334,0.77367195,3142.8643,3896.8081,done
349.8,2.292,0.5365,14,11,2.653,56.67,0.97893956,0.80179704,4885.3246,5274.3101,done
373.1,2.104,0.5763,13,2,3.893,59.67,0.99308097,0.70675019,5844.5365,6654.9486,done
378.8,1.233,0.2911,19,2,1.822,42.71,0.47716567,0.9623374,4944.8095,5478.7498,done
361.8,1.22,0.5483,10,8,4.813,62.61,0.97522022,0.70888015,6566.2741,6962.1816,done
357.6,1.129,0.7927,13,12,3.481,65.31,0.97510263,0.3056989,4719.2882,5083.5993,done
376.4,1.695,0.632,11,9,3.926,43.55,0.97683436,0.81601941,8214.4105,8988.2154,done
334.2,1.186,0.5248,13,6,1.257,34.93,0.79558205,0.97773973,4705.0191,4609.5725,done
359.2,1.05,0.6585,15,11,1.99,33.49,0.97329308,0.96120519,6033.3236,6260.7177,done
341.1,1.923,0.4687,20,9,1.602,43.35,0.82459716,0.998,4653.6514,4811.4887,done
362.5,2.815,0.5522,18,14,1.301,39.66,0.89236249,0.96420353,4212.0233,4761.8243,done
373.1,1.653,0.7758,18,3,3.018,69.38,0.98851578,0.32185066,3644.8979,4294.4675,done
340.7,1.044,0.5243,12,4,4.217,61.6,0.99509733,0.77203331,6262.0218,6333.2937,done
344.3,2.648,0.7679,9,7,1.042,59.41,0.9824744,0.37885621,2569.3249,2724.7153,done
369.5,2.532,0.5619,15,9,4.65,56.74,0.98933636,0.76312375,7306.8333,8292.7796,done
372.5,2.082,0.2534,12,10,1.734,67.41,0.7220166,0.97391538,2694.6898,3297.1682,done
343.2,1.189,0.4103,14,10,2.958,54.71,0.89332269,0.99006617,5623.1254,5710.8952,done
354.3,1.517,0.4857,20,17,3.155,32.79,0.71172771,0.97871112,8724.8547,9119.0807,done
343.8,1.796,0.7805,19,6,1.719,69.11,0.99886223,0.31837772,2604.1275,2771.9597,done
380.0,1.761,0.5176,11,9,4.055,60.37,0.97786816,0.78113872,5858.8105,6689.3909,done
369.3,2.66,0.525,18,13,4.921,66.84,0.9844233,0.70289889,5847.4054,6813.1092,done
346.7,1.1,0.2464,9,4,1.406,66.54,0.69495695,0.97993815,2545.0223,2716.952,done
355.1,2.757,0.3841,10,8,3.205,47.41,0.7108716,0.97799044,6877.8518,7679.1118,done
375.8,1.891,0.6155,13,3,2.871,41.61,0.9963943,0.91731507,6661.0206,7438.7995,done
359.2,1.715,0.6096,15,8,2.28,51.98,0.99013119,0.74371015,4769.7263,5189.023,done
363.4,2.502,0.6661,18,13,1.289,60.75,0.98381795,0.54126819,2707.1154,3160.4626,done
347.2,1.652,0.2675,16,11,3.339,43.42,0.4676879,0.99360697,7927.6619,8231.0785,done
335.9,2.604,0.5743,14,4,1.712,65.25,0.99821971,0.65064929,2964.6676,3041.0718,done
349.8,2.647,0.753,18,2,2.143,50.42,0.98957511,0.48328501,4785.5109,5257.6588,done
